Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry
A,436800,518300,0.28,11.4,50,63,441,0.48,0.102345,1.13,2.37,999214.2377
A,436800,518300,1.53,7.7,9.3,131,430,2.91,0.08078,3.48,2.67,999230.3292
A,436800,518300,3.5,17.6,35,183,708,26.4,0.55,29.3,11.5,998748.15
A,436800,518300,1.93,26.8,30.1,196,750,11.6,0.69,35.7,10.7,998708.48
A,436800,518300,1.8,20.9,27.6,160,556,15.3,0.5,19.3,5.8,998978.8
A,436800,518300,304,7.8,7.2805,40.3,99,5.2,0.199515,3.52,4.2,999182.5
A,436800,518300,65,5.8,10.6475,12.5,35.4,1.9,0.266235,1.9,2.2926,999591.2937
A,436800,518300,7.8,16.4,2.9385,2.33,680,0.79,0.085155,2.48,4.08,999109.0963
A,436800,518300,16.1,1340,152.195,100,3270,9.8,0.12201,32.5,40.1,994788.183
A,436800,518300,6.4,1190,2.9395,118,3080,2.89,0.115655,25.2,30.8,995254.6548
A,436800,518300,17.2,11100,26,126,2340,16.5,0.179,24.1,31.3,986076.721
A,436800,518300,73.475,3.1,3.44545,51.4,89,0.021667,0.11471,0.75,2.3,999511.3932
A,436800,518300,3.4,0.50595,3.14165,1.77,42,0.045261,0.08174,0.56,1.06,999737.4354
A,436800,518300,3.8,515,4.05565,139,730,11.6,0.15766,8.9,14.6,998383.8867
A,436800,518300,8.6,930,4.34,106,680,6.6,0.41,17.9,25.3,997984.85
A,436800,518300,1.33,115,4.2347,40,570,39,0.12519,9,5.2,998981.1101
A,436800,518300,0.9,37,5.508,21,354,10.9,0.153305,3.9,5.3,999317.3387
A,436800,518300,0.41,61,2.44915,0.78,314,0.31,0.08084,0.1052,0.45,999390.4148
A,436800,518300,42,750,4.0058,101,2020,10.5,0.66,16.8,21.9,996798.1342
A,436800,518300,3.3,64,9.2,427,391,1060,0.68,25.4,19.5,997776.92
A,436800,518300,11.2,289,10.072,156,377,160,1.2,15.8,23.9,998733.828
A,436800,518300,8,134,7.5905,212,407,211,1.76,40.7,53.9,998658.0495
A,436800,518300,47,324,48,97.8,710,108,0.18186,14,15.3,998445.7181
A,436800,518300,0.27,141,2.80735,84,570,78,0.112945,2.66,2.38,998891.7697
A,436800,518300,240,260,5.4195,45,640,28,0.134545,10.2,8.9,998525.546
A,436800,518300,14.3,430,39,110,770,41,0.20542,22.2,22,998343.2946
A,436800,518300,13,2570,289,722,1390,164,28.2,413,641,993475.8
A,436800,518300,510,12,6.562,5.4,65,3.45,0.18789,0.9,0.69,999163.8101
A,436800,518300,340,554,474,578,136,77.1,2.28,82,78,997361.62
A,436800,518300,62.6,831,241,347,299,125,8.3,198,189,997348.1
A,436800,518300,44,1002.7,1397.2,0.23353,123,0.444655,0.288535,0.71,4.9,997063.5233
A,436800,518300,0.47,7.6,6.386,0.1895,91,0.034536,0.07008,1,2.89,999580.3599
A,436800,518300,0.255305,4.1,6.0085,0.19783,97,0.28468,0.06635,1.05,2.37,999535.6673
A,436800,518300,0.15219,12.7,4.9822,0.162075,102,0.193,0.060305,1.24,3.07,999604.4402
A,436800,518300,11.7,13.3,6.979,0.212475,153,0.44,0.0809,1.07,2.34,999449.8776
A,436800,518300,0.91,14.4,6.0735,0.185415,109,0.020498,0.0704,2.06,6.8,999541.4802
A,436800,518300,1.02,7.9,6.19,0.18967,105,0.16,0.07174,2.28,4.1,999604.0886
A,436800,518300,0.211735,19,4.8968,0.21166,143,0.052,0.0538,1.42,5,999530.154
A,436800,518300,2.6,17,4.6076,0.19974,98.3,0.023059,0.05062,1.67,6.2,999509.349
A,436800,518300,0.21361,6.7,4.9375,0.21489,105,0.53,0.054235,0.83,1.93,999563.5898
A,436800,518300,5.9,15.8,4.4215,0.19302,140,0.52,0.173,2.37,7.3,999454.3225
A,436800,518300,0.20294,15.8,4.6887,0.20531,124,0.106,0.0515,0.92,2.95,999545.0756
A,436800,518300,0.305665,18.5,6.808,0.181655,122,0.64,0.06211,1.37,5.3,999485.8326
A,436800,518300,0.30807,7,6.86,0.18362,249,0.0393505,0.06258,0.95,1.84,999376.7564
A,436800,518300,0.255645,7.2,6.213,0.240415,110,0.042166,0.09025,1.08,2.19,999557.6885
A,436800,518300,1.6,9.8,6.65,0.9,233,1.1,0.09371,0.78,1.5,999405.5763
A,436800,518300,2.1,48.4,4.34875,0.199295,262,68.8,0.417,8.6,13.4,999275.735
A,436800,518300,0.83,55,5.19,0.23862,460,27,0.158,2.67,3.56,999092.3534
A,436800,518300,12.8,41,29,0.19495,222,65,0.142,5.3,5.9,999302.6631
A,436800,518300,12,1099,390,0.279265,718,120,0.08299,0.13784,164,997151.4999
A,436800,518300,33,320,9.822,0.326095,1.9338,43,0.09658,0.16052,14.5,999244.161
A,436800,518300,360,68,10.1165,0.33698,212,4.4,0.09947,4.6,10.7,998899.7471
A,436800,518300,77.1,1060,510,0.5191,575,0.15166,0.17129,0.25012,169,997279.8078
A,436800,518300,7.8,244,36.6,0.37626,790,30.7,0.080145,10.6,12.5,998543.3436
B,440400,519700,8.3,83.4,37,44,19.2,1.73,0.66,2.82,47.2,999508.69
B,440400,519700,57,90,22.0825,16.5,19.4,2.6,0.448765,1.07,9.4,999411.4987
B,440400,519700,5.6,101,68,71,19.8,4.9,4.4,5.9,80,999384.4
B,440400,519700,10.58,172.9,34.7,71.7,5.52,15.2,3.61,6.99,158.4,999273.4
B,440400,519700,7.8,148,12.6,21.1,50.5,49,0.27,2.91,62,999405.82
B,440400,519700,107.9,165,32,72.2,54,11.4,2.9,4.6,224,999045
B,440400,519700,21.9,94,28,9.1,65,4,0.58,1.04,35,999509.38
B,440400,519700,41,322,107,140,14,15,7.36,15.52,673,998315.12
B,440400,519700,129,970,243,233,103,65.7,8.7,10.3,503,997284.3
B,440400,519700,2.3,8.6,179,271,1.70125,8.9,0.31214,2.89,44.7,999261.5966
B,440400,519700,9.3,28.2,99,193,2.16,38.6,1.13,6.1,131,999204.51
B,440400,519700,238,2010,67,156,96.4,93.6,18.9,23.8,450,996481.3
B,440400,519700,9,225,31,303,27.2,13.6,1.4,4.7,80,999013.1
B,440400,519700,26.1,613,75,209,35.9,94.7,8.3,23.8,208,998404.2
B,440400,519700,14.5,237,40,63.4,24.8,32,2.5,6.9,72,999246.9
B,440400,519700,250,1040,0.8784,570,28.7,33,11.5,11.2,135.2,997382.4
B,440400,519700,191,793,0.8784,238,51.7,32.7,10.71,9.67,127,998119.22
B,440400,519700,143,2230,0.8784,271,78,136.3,19.3,29.45,192,996350.95
B,440400,519700,220,570,0.8784,24,27,41,3,23.391,98,998493.609
B,440400,519700,95.625,82,0.8784,65.1,22.3,50.4,2,4.8,68.4,999301.375
B,440400,519700,14.3,118,0.8784,97.2,44.5,36,10.9125,4.84,79.1,999363.1475
B,440400,519700,24.99,195,0.8784,330,12,10.4,1.65,12.1,285,998827.09
B,440400,519700,76.7,254,0.8784,222,15.7,18.3,2.73,7.1,242,998847.47
B,440400,519700,9.1,161,0.8784,80.3,15.8,12.8,2.91,5.72,117,999356.37
B,440400,519700,8,33.764,0.8784,44.1,7.4,13.8,1.04,3.6952,99.4,999566.8008
B,440400,519700,8.32,507,0.8784,17,21.3,35.6,0.38,1.82,25.2,999135.38
B,440400,519700,75,1300,130,250,40,34,9,14.4,99,997781.6
B,440400,519700,65.1,1800,216,182,58,40.4,10.5,24.7,187,997071.3
B,440400,519700,132,2300,57.81,320,7.5505,1.56065,17,0,6.382,996717.6969
B,440400,519700,20.55,638,178,193,92,22.6,10.043,16.6,322,998224.207
B,440400,519700,100.8,2204,164,263,61.8,155,16.5,39.1,339,996131.8
B,440400,519700,2.17325,12.486,53.9,2.7432,8.636,0.50815,0.6275,0,1.0099,999916.2559
B,440400,519700,31.5,840,123,311,65,112,12.2,21,530,997569.3
B,440400,519700,35.5,482,195,191,82,135,8,30.4,205,998328.1
B,440400,519700,8,18.042,43.1135,1100,5.6305,4.3649,0.7752,3,289,998178.0739
B,440400,519700,7.9,242,81,810,3.16765,0.132665,2.08,4.2,361,998173.5197
B,440400,519700,12.3,580,22.585,578,8.2,0.59,7.1,8.09,758,997659.135
B,440400,519700,107,3060,280,233,65.6,176,24.1,26.7,970,994570.6
B,440400,519700,291,2336,164,368,184,133,29.6,28.4,700,995258
B,440400,519700,23,8.458,80,1200,23,62,0.87,8.4,240,997954.272
B,440400,519700,58.8,2840,256,191,45.3,95.6,9.73,21,351,995651.57
B,440400,519700,76.4,2350,251,164,41,72,8,16.1,325,996294.5
B,440400,519700,32.1,523,294,418,20.4,57.1,9.4,20.4,870,997401.6
B,440400,519700,85.5,1730,154,514,107,194,34.5,53.8,492,996208.2
B,440400,519700,11,197,10.536,22.4,27.9,16.8,0.12163,1.41,13.1,999462.7324
B,440400,519700,15.8,480,36.016,29,43,44,0.425955,2.2,17.4,999034.158
B,440400,519700,144.1,1946,252,417,117,227,31.2,55.5,420,995964.2
B,440400,519700,148,2970,293,335,235,290,41,67,570,994541
B,440400,519700,51.5,989,315,158,70.1,103,20.1,34.5,268,997572.8
