Formation,Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry,Unnamed: 14,Sum,Prediction,Probability_A,Probability_B,Probability_C,Probability_D,Probability_E,Probability_F,Probability_G,Probability_H
Lucan,A,436800,518300,0.28,11.4,50.0,63.0,441.0,0.48,0.102345,1.13,2.37,999214.237655,,955669.762345,A,0.5074874537146633,0.04682834224181971,0.06777094493224868,0.0014430773009139952,0.019823611940739838,0.22860461814706745,0.1145236230256255,0.013518328696921511
Lucan,A,436800,518300,1.53,7.7,9.3,131.0,430.0,2.91,0.08077999999999999,3.48,2.67,999230.3292200001,,955688.6707799999,A,0.5064934878715728,0.04560128395014278,0.07055509161215076,0.001448462700007375,0.020427613873373298,0.23734990282561955,0.10430507317000555,0.01381908399712793
Lucan,A,436800,518300,3.5,17.6,35.0,183.0,708.0,26.4,0.55,29.3,11.5,998748.15,,956114.85,A,0.6093082152497333,0.009139032683729408,0.027843724069354474,0.001077286849145151,0.015637480653475862,0.19988053117742105,0.13011182661647006,0.007001902700670638
Lucan,A,436800,518300,1.93,26.8,30.1,196.0,750.0,11.6,0.69,35.7,10.7,998708.48,,956163.52,A,0.6226764462577964,0.006576494430466891,0.02499006566151195,0.0010722817888176807,0.015985207502279237,0.19331586875140094,0.12706416749512053,0.008319468112606306
Lucan,A,436800,518300,1.8,20.9,27.6,160.0,556.0,15.3,0.5,19.3,5.8,998978.8,,955907.2,A,0.5619774104931322,0.020504832604816354,0.04487420585250713,0.0012581176004592912,0.017382897975777935,0.22721247095943345,0.11684215668236703,0.009947907831506595
Lucan,A,436800,518300,304.0,7.8,7.2805,40.3,99.0,5.2,0.199515,3.52,4.2,999182.499985,,955571.500015,F,0.19686653957792555,0.04025291673723197,0.07241064874737939,0.0025042077246990803,0.013925254262672092,0.548672469167672,0.07641203434847853,0.0489559294339413
Lucan,A,436800,518300,65.0,5.8,10.6475,12.5,35.4,1.9,0.266235,1.9,2.2926,999591.293665,,955235.706335,F,0.25657785541452754,0.11026470420086974,0.16886202221868143,0.00174961618758002,0.016653439658855053,0.3586801622252014,0.06560455124247933,0.021607648851805557
Lucan,A,436800,518300,7.8,16.4,2.9385,2.33,680.0,0.79,0.085155,2.48,4.08,999109.0963450001,,955816.9036549999,A,0.6048285182052535,0.020705576715821822,0.02997027164157726,0.0012220233904664873,0.01942084622041691,0.16662706702600624,0.14713308732251326,0.010092609477944601
Lucan,A,436800,518300,16.1,1340.0,152.195,100.0,3270.0,9.8,0.12201,32.5,40.1,994788.18299,,960060.81701,A,0.5478443331203003,3.705947302452458e-06,1.4703732180016688e-06,0.0002624886738161573,0.001765461729750397,0.0035068262451050905,0.44614043746595655,0.0004752764445509813
Lucan,A,436800,518300,6.4,1190.0,2.9395,118.0,3080.0,2.89,0.115655,25.2,30.8,995254.6548450001,,959556.3451549999,A,0.5643663433143675,8.28992422934128e-06,2.871197589460456e-06,0.00028448263795612143,0.002552463668392094,0.004224139749055944,0.4279074750894072,0.0006539344190023177
Lucan,A,436800,518300,17.2,11100.0,26.0,126.0,2340.0,16.5,0.179,24.1,31.3,986076.7209999999,,968781.2790000001,G,0.32380333025298536,0.20118544278430725,2.61969350500881e-07,0.02144159387822621,4.239054014771417e-09,0.09970162858212289,0.34812442135598215,0.005743316937971506
Lucan,A,436800,518300,73.475,3.1,3.44545,51.4,89.0,0.021667,0.11470999999999999,0.75,2.3,999511.393173,,955323.606827,F,0.28303918482197316,0.09643034287906062,0.15066769828383783,0.0018050869846519158,0.01772381342009448,0.3577614347497401,0.06940435411152295,0.023168084749119053
Lucan,A,436800,518300,3.4,0.50595,3.14165,1.77,42.0,0.045261,0.08174,0.56,1.06,999737.435399,,955152.564601,F,0.27613947914307513,0.12596563885539624,0.19634264790164782,0.0015391568702112324,0.017283141502471056,0.30345099203167025,0.06256295305123374,0.016715990644294573
Lucan,A,436800,518300,3.8,515.0,4.05565,139.0,730.0,11.6,0.15766,8.9,14.6,998383.88669,,956527.11331,A,0.6078868799940635,0.023818814310517123,0.02114357989342576,0.0014545678552638972,0.010363670787215845,0.18557439126888256,0.140070738280664,0.009687357609967206
Lucan,A,436800,518300,8.6,930.0,4.34,106.0,680.0,6.6,0.41,17.9,25.3,997984.85,,956879.15,A,0.5643424230682356,0.030988321735681987,0.022446305697999474,0.0018281791645080251,0.006213938802248,0.23190561587014327,0.1304310155379876,0.011844200123196121
Lucan,A,436800,518300,1.33,115.0,4.2347,40.0,570.0,39.0,0.12519,9.0,5.2,998981.11011,,955883.88989,A,0.5567190823224107,0.02793358827904595,0.04063165077609172,0.0012213430208602592,0.014134732825763455,0.21482969390147358,0.13811339711403026,0.006416511760323996
Lucan,A,436800,518300,0.9,37.0,5.507999999999999,21.0,354.0,10.9,0.153305,3.9,5.3,999317.338695,,955538.661305,A,0.4601060228779062,0.05810417320577843,0.08796101344778193,0.001461589258565252,0.01832243645860226,0.2579025170781277,0.10400336582290454,0.012138881850333488
Lucan,A,436800,518300,0.41,61.0,2.44915,0.78,314.0,0.31,0.08084,0.1052,0.45,999390.41481,,955479.58519,A,0.4362193930215775,0.07174847923392151,0.09789661646369047,0.001541870021853154,0.018435782931833476,0.2597542765511889,0.09972822446345452,0.014675357312480626
Lucan,A,436800,518300,42.0,750.0,4.0058,101.0,2020.0,10.5,0.66,16.8,21.9,996798.1342,,958066.8658,A,0.648726482363264,0.0002545598670704984,0.00011407223176655906,0.0005323965763793736,0.005014254380004884,0.023516946555285485,0.31970682266346134,0.002134465362767694
Lucan,A,436800,518300,3.3,64.0,9.2,427.0,391.0,1060.0,0.68,25.4,19.5,997776.92,,957100.08,A,0.30413789613092795,0.0939748929827585,0.005568608924395723,8.103681425710688e-05,0.0001156876884233905,0.29863473018151887,0.29748714611208193,1.1656366095532438e-09
Lucan,A,436800,518300,11.2,289.0,10.072000000000001,156.0,377.0,160.0,1.2,15.8,23.9,998733.828,,956144.172,A,0.4312544813648935,0.06841332926397801,0.04148250737495894,0.0010620808661791737,0.006807211023864727,0.31444524524293527,0.13516345897667567,0.0013716858865147027
Lucan,A,436800,518300,8.0,134.0,7.5905,212.0,407.0,211.0,1.76,40.7,53.9,998658.0495,,956175.9505,A,0.44704030202297124,0.03223732556522838,0.04291117211534656,0.0008243286933713645,0.006635103147049895,0.34168933223407194,0.12809641432086596,0.000566021901094556
Lucan,A,436800,518300,47.0,324.0,48.0,97.8,710.0,108.0,0.18186,14.0,15.3,998445.71814,,956464.28186,A,0.5618621027651123,0.016693416440148257,0.017136819011337137,0.0010503118130690396,0.007186426172459492,0.21926483926050913,0.17452315665993995,0.002282927877424806
Lucan,A,436800,518300,0.27,141.0,2.80735,84.0,570.0,78.0,0.112945,2.66,2.38,998891.7697049999,,955981.2302950001,A,0.5469295073507188,0.036864880637796374,0.03362932155087699,0.0011211384475023616,0.011736612601924082,0.21451423109864318,0.15153714300755333,0.0036671653049849214
Lucan,A,436800,518300,240.0,260.0,5.4195,45.0,640.0,28.0,0.134545,10.2,8.9,998525.545955,,956337.6540450001,A,0.47855257634787746,0.009968059644364292,0.013838339369332217,0.0017854092988534272,0.009866051294835688,0.3186369443565051,0.1503618619306578,0.016990757757573964
Lucan,A,436800,518300,14.3,430.0,39.0,110.0,770.0,41.0,0.20542,22.2,22.0,998343.2945799999,,956548.7054200001,A,0.6077372800608588,0.01231782698164048,0.01959316277371161,0.0012219560818121373,0.008970482253157561,0.19530095313490706,0.14932499992898238,0.005533338784929952
Lucan,A,436800,518300,13.0,2570.0,289.0,722.0,1390.0,164.0,28.2,413.0,641.0,993475.8,,961330.2,F,0.36989603363480666,5.615038794424101e-05,5.253469290806598e-05,0.0008145800450754492,0.0009075557315391142,0.5912573229194582,0.03644793736028991,0.0005678852279782534
Lucan,A,436800,518300,510.0,12.0,6.562,5.4,65.0,3.45,0.18789,0.9,0.69,999163.8101100001,,955704.1898899999,F,0.10742750656526201,0.019828390857522065,0.03518719161978228,0.0029716933664351917,0.009939593732380753,0.6655713432559477,0.06984124813312954,0.08923303246954045
Lucan,A,436800,518300,340.0,554.0,474.0,578.0,136.0,77.1,2.28,82.0,78.0,997361.62,,957421.38,F,0.15111344331215018,0.0059905720571666946,0.04682227461752423,0.002292529835162852,0.0032110071850357056,0.7205289457206623,0.04929138200095327,0.020749845271344766
Lucan,A,436800,518300,62.6,831.0,241.0,347.0,299.0,125.0,8.3,198.0,189.0,997348.1,,957400.9,F,0.31841141641857756,0.0016155247943462731,0.04634739054565629,0.0011983605237063507,0.002756679864432227,0.5805826283301208,0.046435792367249346,0.0026522071559112034
Lucan,A,436800,518300,44.0,1002.7,1397.2,0.23353000000000002,123.0,0.444655,0.288535,0.71,4.9,997063.52328,,957673.47672,F,0.20099192140797076,0.12653462058603357,0.10167363884921264,0.0025191455536050394,0.0016994739495465587,0.378656603747968,0.16917589476158496,0.018748701144078575
Lucan,A,436800,518300,0.47,7.6,6.386,0.1895,91.0,0.034536000000000004,0.07007999999999999,1.0,2.89,999580.359884,,955209.640116,A,0.30240846388549963,0.11393510363029687,0.17930594204713207,0.0015551880796941201,0.01775859463737063,0.30034343983304296,0.06815858014113639,0.016534687745827403
Lucan,A,436800,518300,0.255305,4.1,6.0085,0.19783,97.0,0.28468000000000004,0.06635,1.05,2.37,999535.667335,,955211.332665,A,0.3058523788280471,0.1118933254138259,0.17641406629616901,0.0015557529348987627,0.017829177230769332,0.3008146353482113,0.06909592793871301,0.01654473600936553
Lucan,A,436800,518300,0.15219000000000002,12.7,4.9822,0.162075,102.0,0.193,0.060305,1.24,3.07,999604.44023,,955224.55977,A,0.30969330250297245,0.11092532431658735,0.17616857141617454,0.0015532389818725845,0.017776722589914005,0.2982706277146281,0.0693177800298579,0.016294432447993147
Lucan,A,436800,518300,11.7,13.3,6.979,0.212475,153.0,0.44,0.0809,1.07,2.34,999449.877625,,955289.122375,A,0.3363403920646265,0.09693760553012747,0.15018940416656135,0.0016012464880844012,0.018154371007502862,0.3023870849017275,0.0773740144895552,0.017015881351814626
Lucan,A,436800,518300,0.91,14.4,6.0735,0.185415,109.0,0.020498,0.0704,2.06,6.8,999541.4801870001,,955239.5198129999,A,0.3110140975106407,0.10748898584170247,0.1760739073120215,0.0015647922501275337,0.018010737192842734,0.30035346795889656,0.06907067127951137,0.01642334065425711
Lucan,A,436800,518300,1.02,7.9,6.19,0.18967,105.0,0.16,0.07174,2.28,4.1,999604.0885899999,,955226.9114100001,A,0.31191438190865334,0.10661315431782535,0.1766794762602474,0.0015508860755175911,0.01788349965538252,0.2998007624499092,0.06928383405727757,0.01627400527518701
Lucan,A,436800,518300,0.21173499999999998,19.0,4.8968,0.21166,143.0,0.052000000000000005,0.0538,1.42,5.0,999530.1540049999,,955273.8459950001,A,0.33256345320300684,0.10162077403346448,0.16186263257995587,0.0015649382814247473,0.01823167509342422,0.2940172461611015,0.07399126204928794,0.016148018598334486
Lucan,A,436800,518300,2.6,17.0,4.6076,0.19974,98.3,0.023059,0.05062,1.67,6.2,999509.3489809999,,955230.6510190001,F,0.30336522131382676,0.11034370262405689,0.1786899735873452,0.0015749358642642827,0.0177889465279532,0.30357932388654385,0.06792200543957636,0.016735890756433582
Lucan,A,436800,518300,0.21361,6.7,4.9375,0.21489,105.0,0.53,0.054235000000000005,0.83,1.93,999563.5897649999,,955220.4102350001,A,0.3113471927389508,0.11067138279091188,0.1734836726253467,0.001553232297420817,0.01785188970055135,0.298545958516468,0.07020659559500692,0.016340075735343622
Lucan,A,436800,518300,5.9,15.8,4.4215,0.19302,140.0,0.52,0.17300000000000001,2.37,7.3,999454.32248,,955276.67752,A,0.3275556345539021,0.10097236916079064,0.15828087879046612,0.0015897341517971582,0.018375135333424324,0.3025728773534878,0.07394998981161584,0.01670338084451599
Lucan,A,436800,518300,0.20294,15.8,4.6887,0.20531,124.0,0.106,0.0515,0.92,2.95,999545.07555,,955248.92445,A,0.3218607625056738,0.10681639932404295,0.167007819008759,0.001562281118525527,0.017975616972263294,0.2962141252158883,0.07224693874045182,0.016316057114395315
Lucan,A,436800,518300,0.305665,18.5,6.808,0.18165499999999998,122.0,0.64,0.062110000000000005,1.37,5.3,999485.8325700001,,955255.1674299999,A,0.3183621569547831,0.10673595157545727,0.16862419297351774,0.001569243196152286,0.01794441340668975,0.29893706397549824,0.07150109414602164,0.016325883771879917
Lucan,A,436800,518300,0.30806999999999995,7.0,6.86,0.18362,249.0,0.0393505,0.06258,0.95,1.84,999376.7563795,,955366.2436205,A,0.3981037914287345,0.0788449697052734,0.1211235682363211,0.0015443773570237842,0.019229499153913705,0.27589222257338797,0.08976850462244404,0.015493066922901555
Lucan,A,436800,518300,0.25564499999999996,7.2,6.212999999999999,0.24041500000000002,110.0,0.042166,0.09025,1.08,2.19,999557.688524,,955227.311476,A,0.314279608638338,0.10960602348723657,0.1708018645221099,0.0015568200919488027,0.017954625627784628,0.2984228694217259,0.07092021035402621,0.016457977856829953
Lucan,A,436800,518300,1.6,9.8,6.65,0.9,233.0,1.1,0.09371,0.78,1.5,999405.57629,,955355.42371,A,0.3883773518739164,0.0831116964287508,0.12442097106894447,0.001549805905323536,0.01897081217150087,0.2798346748267065,0.0882545924738459,0.015480095251011598
Lucan,A,436800,518300,2.1,48.4,4.34875,0.199295,262.0,68.8,0.41700000000000004,8.6,13.4,999275.7349549999,,955508.2650450001,A,0.40254837493503615,0.07364347472424528,0.09907124586305852,0.0012827729885463936,0.013398677588735804,0.30005999358981805,0.10474022991428836,0.005255230396271547
Lucan,A,436800,518300,0.83,55.0,5.19,0.23861999999999997,460.0,27.0,0.158,2.67,3.56,999092.3533799999,,955654.6466200001,A,0.5098489577592886,0.04544116538403928,0.058079318409550246,0.0013390120781910525,0.016540746977308965,0.23325481569740145,0.12683307612371972,0.008662907570500691
Lucan,A,436800,518300,12.8,41.0,29.0,0.19495,222.0,65.0,0.142,5.3,5.9,999302.66305,,955481.33695,A,0.37904578406504286,0.07926777927240435,0.11036307930597368,0.001328118583623807,0.012910715518898254,0.30950875240598924,0.10163890379809995,0.005936867049967892
Lucan,A,436800,518300,12.0,1099.0,390.0,0.279265,718.0,120.0,0.08299,0.13784000000000002,164.0,997151.499905,,957603.500095,A,0.4833170002106667,0.07721387219769858,0.031002890420830476,0.0017942197426135513,0.00474996036866006,0.23084677745824378,0.1691885808771302,0.0018866987241566231
Lucan,A,436800,518300,33.0,320.0,9.822000000000001,0.32609499999999997,1.9338,43.0,0.09658,0.16052,14.5,999244.1610049999,,955522.8389950001,F,0.2226919694486757,0.1698172373125354,0.16881377972956202,0.0016651244550133675,0.009355358387168987,0.35343510474572637,0.06373256875634621,0.010488857164971973
Lucan,A,436800,518300,360.0,68.0,10.1165,0.33698,212.0,4.4,0.09947,4.6,10.7,998899.74705,,955770.25295,F,0.21063854849107852,0.02341332314941333,0.04398093314124655,0.002661417979464906,0.012534912694811667,0.5628015131664446,0.08979883946278272,0.054170511914757885
Lucan,A,436800,518300,77.1,1060.0,510.0,0.5191,575.0,0.15166,0.17129,0.25012,169.0,997279.80783,,957492.19217,A,0.3798669569676362,0.0882252535426063,0.06372867148692264,0.003313419950228375,0.008868142695576392,0.31130302245707114,0.12518375240975582,0.019510780490203192
Lucan,A,436800,518300,7.8,244.0,36.6,0.37626,790.0,30.7,0.08014500000000001,10.6,12.5,998543.3435950001,,956232.6564049999,A,0.6165970869402283,0.01369230346444143,0.01864318140572845,0.0011334468216823185,0.011785547249372901,0.16380222837869823,0.16859439280719646,0.0057518129326520374
Lucan,B,440400,519700,8.3,83.4,37.0,44.0,19.2,1.73,0.66,2.82,47.2,999508.69,,960344.31,C,0.1949075100690345,0.1640848962952812,0.29558734740636006,0.0015681523938738439,0.010346209098403576,0.22961436035794466,0.07214255141470641,0.031748972964395716
